Library	Species	Sample	Read	Filename	Path
bisulfite-seq	M_californicus	B1S1-4	R1	B1S1-4_S66_L001_R1_001.fastq.gz	data/bisulfite-seq/M_californicus/B1S1-4_S66_L001_R1_001.fastq.gz
bisulfite-seq	M_californicus	B1S1-4	R2	B1S1-4_S66_L001_R2_001.fastq.gz	data/bisulfite-seq/M_californicus/B1S1-4_S66_L001_R2_001.fastq.gz
bisulfite-seq	M_evotis	B1S1-2	R1	B1S1-2_S64_L001_R1_001.fastq.gz	data/bisulfite-seq/M_evotis/B1S1-2_S64_L001_R1_001.fastq.gz
bisulfite-seq	M_evotis	B1S1-2	R2	B1S1-2_S64_L001_R2_001.fastq.gz	data/bisulfite-seq/M_evotis/B1S1-2_S64_L001_R2_001.fastq.gz
bisulfite-seq	M_evotis	B1S1-3	R1	B1S1-3_S65_L001_R1_001.fastq.gz	data/bisulfite-seq/M_evotis/B1S1-3_S65_L001_R1_001.fastq.gz
bisulfite-seq	M_evotis	B1S1-3	R2	B1S1-3_S65_L001_R2_001.fastq.gz	data/bisulfite-seq/M_evotis/B1S1-3_S65_L001_R2_001.fastq.gz
bisulfite-seq	M_lucifugus	ML3	R1	ML3_S61_L001_R1_001.fastq.gz	data/bisulfite-seq/M_lucifugus/ML3_S61_L001_R1_001.fastq.gz
bisulfite-seq	M_lucifugus	ML3	R2	ML3_S61_L001_R2_001.fastq.gz	data/bisulfite-seq/M_lucifugus/ML3_S61_L001_R2_001.fastq.gz
bisulfite-seq	M_lucifugus	ML5	R1	ML5_S62_L001_R1_001.fastq.gz	data/bisulfite-seq/M_lucifugus/ML5_S62_L001_R1_001.fastq.gz
bisulfite-seq	M_lucifugus	ML5	R2	ML5_S62_L001_R2_001.fastq.gz	data/bisulfite-seq/M_lucifugus/ML5_S62_L001_R2_001.fastq.gz
bisulfite-seq	M_lucifugus	ML7	R1	ML7_S63_L001_R1_001.fastq.gz	data/bisulfite-seq/M_lucifugus/ML7_S63_L001_R1_001.fastq.gz
bisulfite-seq	M_lucifugus	ML7	R2	ML7_S63_L001_R2_001.fastq.gz	data/bisulfite-seq/M_lucifugus/ML7_S63_L001_R2_001.fastq.gz
bisulfite-seq	M_volans	MV2	R1	MV2_S68_L001_R1_001.fastq.gz	data/bisulfite-seq/M_volans/MVol2_S68_L001_R1_001.fastq.gz
bisulfite-seq	M_volans	MV2	R2	MV2_S68_L001_R2_001.fastq.gz	data/bisulfite-seq/M_volans/MVol2_S68_L001_R2_001.fastq.gz
bisulfite-seq	M_thysanodes	MT	R1	MT-sub_S67_L001_R1_001.fastq.gz	data/bisulfite-seq/M_thysanodes/MT_S67_L001_R1_001.fastq.gz
bisulfite-seq	M_thysanodes	MT	R2	MT-sub_S67_L001_R2_001.fastq.gz	data/bisulfite-seq/M_thysanodes/MT_S67_L001_R2_001.fastq.gz
bisulfite-seq	M_californicus	B1S1-4-sub	R1	B1S1-4-sub_S6_L001_R1_001.fastq.gz	data/bisulfite-seq/M_californicus/B1S1-4-sub_S6_L001_R1_001.fastq.gz
bisulfite-seq	M_californicus	B1S1-4-sub	R2	B1S1-4-sub_S6_L001_R2_001.fastq.gz	data/bisulfite-seq/M_californicus/B1S1-4-sub_S6_L001_R2_001.fastq.gz
bisulfite-seq	M_evotis	B1S1-2-sub	R1	B1S1-2-sub_S4_L001_R1_001.fastq.gz	data/bisulfite-seq/M_evotis/B1S1-2-sub_S4_L001_R1_001.fastq.gz
bisulfite-seq	M_evotis	B1S1-2-sub	R2	B1S1-2-sub_S4_L001_R2_001.fastq.gz	data/bisulfite-seq/M_evotis/B1S1-2-sub_S4_L001_R2_001.fastq.gz
bisulfite-seq	M_evotis	B1S1-3-sub	R1	B1S1-3-sub_S5_L001_R1_001.fastq.gz	data/bisulfite-seq/M_evotis/B1S1-3-sub_S5_L001_R1_001.fastq.gz
bisulfite-seq	M_evotis	B1S1-3-sub	R2	B1S1-3-sub_S5_L001_R2_001.fastq.gz	data/bisulfite-seq/M_evotis/B1S1-3-sub_S5_L001_R2_001.fastq.gz
bisulfite-seq	M_lucifugus	ML3-sub	R1	ML3-sub_S1_L001_R1_001.fastq.gz	data/bisulfite-seq/M_lucifugus/ML3-sub_S1_L001_R1_001.fastq.gz
bisulfite-seq	M_lucifugus	ML3-sub	R2	ML3-sub_S1_L001_R2_001.fastq.gz	data/bisulfite-seq/M_lucifugus/ML3-sub_S1_L001_R2_001.fastq.gz
bisulfite-seq	M_lucifugus	ML5-sub	R1	ML5-sub_S2_L001_R1_001.fastq.gz	data/bisulfite-seq/M_lucifugus/ML5-sub_S2_L001_R1_001.fastq.gz
bisulfite-seq	M_lucifugus	ML5-sub	R2	ML5-sub_S2_L001_R2_001.fastq.gz	data/bisulfite-seq/M_lucifugus/ML5-sub_S2_L001_R2_001.fastq.gz
bisulfite-seq	M_lucifugus	ML7-sub	R1	ML7-sub_S3_L001_R1_001.fastq.gz	data/bisulfite-seq/M_lucifugus/ML7-sub_S3_L001_R1_001.fastq.gz
bisulfite-seq	M_lucifugus	ML7-sub	R2	ML7-sub_S3_L001_R2_001.fastq.gz	data/bisulfite-seq/M_lucifugus/ML7-sub_S3_L001_R2_001.fastq.gz
bisulfite-seq	M_volans	MV2-sub	R1	MV2-sub_S8_L001_R1_001.fastq.gz	data/bisulfite-seq/M_volans/MV2-sub_S8_L001_R1_001.fastq.gz
bisulfite-seq	M_volans	MV2-sub	R2	MV2-sub_S8_L001_R2_001.fastq.gz	data/bisulfite-seq/M_volans/MV2-sub_S8_L001_R2_001.fastq.gz
bisulfite-seq	M_thysanodes	MT-sub	R1	MT-sub_S7_L001_R1_001.fastq.gz	data/bisulfite-seq/M_thysanodes/MT-sub_S7_L001_R1_001.fastq.gz
bisulfite-seq	M_thysanodes	MT-sub	R2	MT-sub_S7_L001_R2_001.fastq.gz	data/bisulfite-seq/M_thysanodes/MT-sub_S7_L001_R2_001.fastq.gz
